Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,60,9,Some Random Commen with Id 0
1,0,3,60,3,Some Random Commen with Id 1
2,0,3,160,0,Some Random Commen with Id 2
3,0,3,61,2,Some Random Commen with Id 3
4,0,3,151,4,Some Random Commen with Id 4
5,0,3,6,4,Some Random Commen with Id 5
6,0,3,2,2,Some Random Commen with Id 6
7,1,4,57,2,Some Random Commen with Id 7
8,1,4,108,4,Some Random Commen with Id 8
9,1,4,88,5,Some Random Commen with Id 9
10,1,4,191,7,Some Random Commen with Id 10
11,1,4,164,1,Some Random Commen with Id 11
12,1,4,60,5,Some Random Commen with Id 12
13,1,4,149,1,Some Random Commen with Id 13
14,2,3,126,1,Some Random Commen with Id 14
15,2,3,98,3,Some Random Commen with Id 15
16,2,3,55,2,Some Random Commen with Id 16
17,2,3,100,4,Some Random Commen with Id 17
18,3,4,194,5,Some Random Commen with Id 18
19,3,4,70,2,Some Random Commen with Id 19
20,3,4,44,7,Some Random Commen with Id 20
21,3,4,31,1,Some Random Commen with Id 21
22,3,4,198,3,Some Random Commen with Id 22
23,4,3,117,3,Some Random Commen with Id 23
24,4,3,66,7,Some Random Commen with Id 24
25,4,3,3,9,Some Random Commen with Id 25
26,4,3,81,7,Some Random Commen with Id 26
27,4,3,155,9,Some Random Commen with Id 27
28,4,3,121,6,Some Random Commen with Id 28
29,4,3,129,0,Some Random Commen with Id 29
30,4,3,55,5,Some Random Commen with Id 30
31,4,3,8,6,Some Random Commen with Id 31
32,5,2,167,0,Some Random Commen with Id 32
33,5,2,196,4,Some Random Commen with Id 33
34,5,2,126,4,Some Random Commen with Id 34
35,5,2,87,8,Some Random Commen with Id 35
36,5,2,146,2,Some Random Commen with Id 36
37,5,2,145,8,Some Random Commen with Id 37
38,5,2,16,4,Some Random Commen with Id 38
39,7,0,18,8,Some Random Commen with Id 39
40,7,0,149,8,Some Random Commen with Id 40
41,7,0,152,3,Some Random Commen with Id 41
42,7,0,179,3,Some Random Commen with Id 42
43,7,0,157,4,Some Random Commen with Id 43
44,7,0,189,9,Some Random Commen with Id 44
45,7,0,174,4,Some Random Commen with Id 45
46,7,0,193,0,Some Random Commen with Id 46
47,7,0,48,0,Some Random Commen with Id 47
48,8,3,14,5,Some Random Commen with Id 48
49,8,3,52,5,Some Random Commen with Id 49
50,8,3,190,9,Some Random Commen with Id 50
51,8,3,70,4,Some Random Commen with Id 51
52,8,3,194,4,Some Random Commen with Id 52
53,8,3,96,3,Some Random Commen with Id 53
54,8,3,115,1,Some Random Commen with Id 54
55,8,3,26,4,Some Random Commen with Id 55
56,8,3,47,9,Some Random Commen with Id 56
57,9,7,131,0,Some Random Commen with Id 57
58,9,7,165,5,Some Random Commen with Id 58
59,9,7,60,8,Some Random Commen with Id 59
60,9,7,11,8,Some Random Commen with Id 60
61,9,7,158,8,Some Random Commen with Id 61
62,10,9,120,6,Some Random Commen with Id 62
63,11,7,199,8,Some Random Commen with Id 63
64,11,7,106,3,Some Random Commen with Id 64
65,11,7,14,1,Some Random Commen with Id 65
66,11,7,124,9,Some Random Commen with Id 66
67,11,7,191,6,Some Random Commen with Id 67
68,11,7,55,4,Some Random Commen with Id 68
69,12,2,154,6,Some Random Commen with Id 69
70,12,2,22,8,Some Random Commen with Id 70
71,12,2,190,5,Some Random Commen with Id 71
72,12,2,79,1,Some Random Commen with Id 72
73,12,2,115,7,Some Random Commen with Id 73
74,12,2,195,3,Some Random Commen with Id 74
